地点番号,地点名,国名,緯度,経度,日平均気温,日最高気温,日最低気温,日降水量
17084,チョルム,トルコ,40.55,34.95,6.1,12.6,2.6,0.0
17085,アマシア,トルコ,40.65,35.85,7.1,11.0,4.4,0.0
17086,トカト,トルコ,40.30,36.57,3.3,9.7,-1.0,0.0
17088,ギュミュシャネ,トルコ,40.47,39.47,4.3,9.6,-1.1,0.0
17089,BAYBURT,トルコ,40.25,40.23,,,-5.0,0.0
17090,シワス,トルコ,39.75,37.02,3.9,10.5,-2.8,0.0
17092,エルジンジャン,トルコ,39.70,39.52,-0.9,6.3,-7.8,0.0
17095,ERZURUMBOLGE,トルコ,39.90,41.28,-6.7,0.1,-11.6,0.0
17096,エルズルム,トルコ,39.95,41.17,-12.6,-4.9,-20.0,0.0
17098,カルス,トルコ,40.55,43.08,-13.8,-6.9,-21.7,0.0
17099,アール,トルコ,39.73,43.05,,,-22.3,0.0
17100,ウードゥル,トルコ,39.92,44.05,-6.4,-5.7,-7.1,0.0
17112,チャナッカレ,トルコ,40.13,26.40,16.4,18.1,14.6,0.0
17115,バンドゥルマ,トルコ,40.32,27.97,14.5,18.8,10.7,0.0
17116,ブルサ,トルコ,40.18,29.07,14.4,22.4,6.3,0.0
17118,イェニシェヒル,トルコ,40.23,29.53,12.3,21.7,3.5,0.0
17119,YALOVA,トルコ,40.67,29.28,15.1,22.7,11.9,0.0
17120,ビレジク,トルコ,40.15,29.97,12.0,18.4,6.9,0.0
17124,エスキシェヒル,トルコ,39.78,30.57,6.7,16.3,3.2,0.0
17127,AKINCI,トルコ,40.07,32.57,4.4,12.4,0.3,0.0
17128,ESENBOGA,トルコ,40.12,33.00,4.9,12.1,1.0,0.0
17129,エティメスウト,トルコ,39.95,32.68,6.2,13.5,1.9,0.0
17130,アンカラ,トルコ,39.95,32.88,7.4,13.0,3.9,0.0
17131,GUVERCINLIK,トルコ,39.93,32.75,7.1,13.2,2.2,0.0
17135,クルッカレ,トルコ,39.85,33.52,7.6,12.1,3.1,0.0
17140,ヨズガト,トルコ,39.82,34.80,4.8,9.6,1.3,0.0
17150,バルケシル,トルコ,39.62,27.92,12.4,19.7,7.2,0.0
17155,キュターヤ,トルコ,39.42,29.97,9.5,14.7,5.9,0.0
17160,クルシェヒル,トルコ,39.15,34.17,5.9,13.5,1.7,0.0
17165,TUNCELI,トルコ,39.12,39.55,-0.2,6.4,-5.8,0.0
17170,ワン,トルコ,38.47,43.35,-2.3,3.5,-8.1,0.0
17175,アイバルク,トルコ,39.30,26.70,16.2,19.0,12.8,0.0
17180,ディキリ,トルコ,39.07,26.88,15.3,19.9,10.6,0.0
17184,アクヒサール,トルコ,38.92,27.85,11.2,19.9,5.2,0.0
17186,マニサ,トルコ,38.62,27.43,14.0,20.1,7.8,0.0
17190,アフヨン,トルコ,38.75,30.53,8.5,13.7,5.4,0.0
17191,CIHANBEYLI,トルコ,38.65,32.95,7.2,14.7,-0.4,0.0
17192,AKSARAY,トルコ,38.38,34.05,9.0,15.0,3.0,0.0
17193,ネウシェヒル,トルコ,38.62,34.70,8.7,13.0,5.0,0.0
17195,カイセリ,トルコ,38.82,35.43,2.4,10.2,-4.1,0.0
17197,TULGAMEYDAN,トルコ,38.35,38.25,-0.2,0.7,-1.1,0.0
17200,マラティヤ,トルコ,38.43,38.08,0.3,1.8,-1.1,0.0
17202,エラーズー,トルコ,38.60,39.28,0.3,3.1,-2.5,0.0
17203,ビンギョル,トルコ,38.87,40.50,2.8,9.4,-2.5,0.0
17204,ムシュ,トルコ,38.73,41.52,-5.5,-2.0,-10.9,0.0
17210,シイルト,トルコ,37.92,41.95,7.2,12.1,2.3,0.0
17218,イズミル／CIGLI,トルコ,38.52,27.02,16.2,19.3,13.1,0.0
17219,IZMIR/A.MENDERES,トルコ,38.27,27.15,11.7,19.1,5.1,0.0
17220,イズミル,トルコ,38.43,27.17,16.0,19.7,13.1,0.0
17221,CESME,トルコ,38.30,26.30,16.4,19.5,13.3,0.0
17232,クシャダス,トルコ,37.87,27.25,16.2,20.6,13.1,0.0
17234,アイドゥン,トルコ,37.85,27.85,13.5,21.1,9.5,0.0
17237,デニズリ,トルコ,37.78,29.08,11.9,15.6,8.8,0.0
17238,ブルドゥル,トルコ,37.67,30.33,6.0,10.5,3.2,0.0
17239,AKSEHIR,トルコ,38.35,31.42,10.3,15.0,5.7,0.0
17240,イスパルタ,トルコ,37.75,30.55,9.2,13.1,5.3,0.0
17241,イスパルタ,トルコ,37.85,30.37,4.6,7.9,2.7,0.0
17244,コンヤ,トルコ,37.97,32.55,6.7,15.4,-0.1,0.0
17246,KARAMAN,トルコ,37.20,33.22,9.9,15.7,4.0,0.0
17248,エレーリ,トルコ,37.50,34.05,7.4,15.9,1.4,0.0
17250,ニーデ,トルコ,37.97,34.68,6.5,13.1,-0.1,0.0
17260,ガジアンテプ,トルコ,37.08,37.37,7.9,14.6,1.4,0.0
17262,KILIS,トルコ,36.72,37.12,11.7,15.6,7.8,0.0
17265,アドゥヤマン,トルコ,37.75,38.28,,,5.6,0.0
17270,シャンルウルファ,トルコ,37.13,38.77,11.1,16.2,6.0,0.0
17271,GAPMEYDAN,トルコ,37.43,38.90,7.7,13.7,3.1,0.0
17275,マルディン,トルコ,37.30,40.73,,,8.1,0.0
17280,ディヤルバクル,トルコ,37.88,40.20,3.5,12.4,-3.9,0.0
17282,バトマン,トルコ,37.88,41.12,2.6,11.3,-5.1,0.0
17285,ハッカーリ,トルコ,37.57,43.77,,,-4.9,0.0
17290,ボドルム,トルコ,37.03,27.43,17.0,20.9,13.8,0.0
17291,BODRUMMILAS,トルコ,37.23,27.67,12.7,20.9,7.4,0.0
17292,ムーラ,トルコ,37.22,28.37,12.0,13.8,11.2,2.5
17295,DALAMAN,トルコ,36.70,28.78,14.6,20.3,10.5,0.0
17296,FETHIYE,トルコ,36.62,29.12,13.6,20.3,9.8,0.0
17297,DATCA,トルコ,36.70,27.67,17.3,19.9,14.7,0.0
17298,マルマリス,トルコ,36.85,28.27,15.6,17.6,13.6,37.0
17300,アンタリヤ,トルコ,36.87,30.73,13.3,18.8,10.3,0.0
17302,ANTALYA-BOLGE,トルコ,36.87,30.70,15.2,19.0,12.9,0.0
17310,アランヤ,トルコ,36.55,32.00,17.4,21.6,14.7,0.0
17320,アナムル,トルコ,36.08,32.83,15.6,19.8,13.0,0.0
17330,シリフケ,トルコ,36.38,33.93,14.8,21.5,11.7,0.0
17340,メルシン,トルコ,36.80,34.63,16.0,21.3,12.5,0.0
17350,アダナ,トルコ,37.00,35.42,13.0,24.1,5.8,0.0
17352,アダナ,トルコ,36.98,35.30,13.7,21.7,7.7,0.0
17355,OSMANIYE,トルコ,37.17,36.17,12.8,21.7,4.3,0.0
17370,イスケンデルン,トルコ,36.58,36.17,17.0,20.9,13.1,0.0
17375,フィニケ,トルコ,36.30,30.15,14.9,21.2,11.3,0.0
17380,KAS,トルコ,36.20,29.65,,,15.8,0.0
17600,パフォス国際空港,キプロス,34.72,32.48,15.0,22.5,11.2,0.0
17601,アクロティリ,キプロス,34.58,32.65,16.6,21.0,12.4,0.0
17607,ATHALASSA,キプロス,35.13,33.38,,,6.6,
17609,ラルナカ,キプロス,34.87,33.62,15.7,21.5,12.4,0.0
20046,POLARGMOIM.E.T.KRENKELJA,ロシア,80.62,58.05,-9.4,,,
20069,OSTROVVIZE,ロシア,79.48,76.97,-18.5,-18.2,,0.2
20087,OSTROVGOLOMJANNYJ,ロシア,79.55,90.57,-22.8,-21.0,,0.0
20107,BARENTSBURG,ロシア,78.05,14.22,-1.5,0.9,-5.8,1.0
20292,GMOIM.E.K.FEDOROVA,ロシア,77.70,104.28,-20.2,-18.8,,0.0
20471,IZVESTIJTSIK,ロシア,75.95,82.93,-19.4,-16.0,,1.0
20476,MYSSTERLEGOVA,ロシア,75.40,88.90,-22.7,-18.4,,4.0
20667,IM.M.V.POPOVA,ロシア,73.32,70.05,-12.5,-4.8,,0.0
20674,ディクソン,ロシア,73.50,80.40,-13.7,-5.4,,0.4
20744,マールイエカルマクルイ,ロシア,72.37,52.70,-1.3,-0.6,,1.3
20871,SOPOCHNAYAKARGA,ロシア,71.87,82.70,-9.0,-5.6,,0.7
20891,ハタンガ川,ロシア,71.97,102.45,-20.2,-15.7,,2.0
20946,IM.E.K.FEDOROVA,ロシア,70.43,59.08,-3.1,-1.7,,1.4
20967,SEYAHA,ロシア,70.17,72.50,-8.0,,,1.0
20978,KARAUL,ロシア,70.08,83.17,-13.0,-12.6,,5.0
21432,コテリヌイ島,ロシア,76.00,137.87,-26.0,-25.0,,0.0
21535,SANNIKOVA,ロシア,74.67,138.90,-26.9,-24.1,,0.0
21608,ANABAR,ロシア,73.22,113.50,-26.2,-24.8,,0.0
21636,KIGILYAH,ロシア,73.33,139.87,-25.3,-22.2,,1.0
21711,UST'-OLENEK,ロシア,73.00,119.87,,-23.3,,0.2
21721,IM.YU.A.HABAROVA,ロシア,72.40,126.35,-24.5,-22.7,,1.2
21802,サスクイラフ,ロシア,71.97,114.08,-25.8,-19.3,,4.0
21813,TYUMYATI,ロシア,71.92,123.57,-29.8,-27.3,,1.2
21821,BYKOV(MYS),ロシア,72.00,129.12,-25.0,-24.1,,4.0
21824,ティクシ,ロシア,71.58,128.92,-26.0,-25.2,,7.0
21908,ジャリンダ,ロシア,70.13,113.97,-22.0,-16.5,,2.2
21921,クユシュル,ロシア,70.68,127.40,-33.5,-30.0,,1.4
21931,JUBILEJNAJA,ロシア,70.77,136.22,-26.3,-22.2,-33.4,0.6
21937,KUJGA,ロシア,70.03,135.67,-33.3,-27.4,-36.7,0.2
21946,CHOKURDAH,ロシア,70.62,147.88,-28.4,-28.3,-28.9,0.9
21978,VAL'KARKAJ,ロシア,70.08,170.92,-23.3,-21.5,-28.2,0.0
21982,ウランゲル島,ロシア,70.98,-178.65,-23.9,-20.9,-26.0,0.2
22003,VAJDA-GUBA,ロシア,69.93,31.97,-6.7,-5.4,-7.9,0.0
22004,NIKEL',ロシア,69.40,30.20,-9.2,-7.5,-12.3,0.0
22028,テリベルカ,ロシア,69.20,35.10,-11.0,-8.4,-12.9,0.0
22100,VERHOV'ERLOTTY,ロシア,68.53,28.92,-14.0,-9.1,-25.5,0.0
22106,PADUN,ロシア,68.60,31.80,-15.6,-13.0,-20.2,0.4
22113,ムルマンスク,ロシア,68.95,33.03,-11.2,-8.7,-14.9,0.0
22127,LOVOZERO,ロシア,68.00,35.02,-21.2,-14.6,-27.6,0.0
22165,カニンノス,ロシア,68.65,43.28,-11.8,-8.2,-11.9,0.0
22193,BUGRINO,ロシア,68.77,49.30,-7.5,-6.5,-7.0,0.0
22212,モンチェゴルスク,ロシア,67.93,32.92,-13.5,-10.2,-19.9,0.5
22213,APATITY,ロシア,67.55,33.35,-11.7,-7.9,-23.0,0.2
22217,カンダラクシャ,ロシア,67.17,32.35,-12.3,-10.1,-21.6,1.4
22235,KRASNOSCEL'E,ロシア,67.35,37.05,-12.8,-8.9,-9.7,0.0
22249,KANEVKA,ロシア,67.12,39.65,-16.0,-12.2,-12.9,0.3
22271,SHOJNA,ロシア,67.87,44.17,-18.4,-11.7,-20.0,0.6
22292,インジガ,ロシア,67.68,48.68,-22.8,-22.1,-22.9,0.0
22312,KOVDA,ロシア,66.68,32.88,-9.4,-7.1,-14.4,2.2
22324,ウンバ,ロシア,66.67,34.33,-8.9,-6.1,-8.7,1.2
22334,KASHKARANTSY,ロシア,66.33,36.02,-9.1,-7.1,-7.1,0.3
22349,PJALICA,ロシア,66.18,39.52,-9.6,-7.7,-10.7,0.4
22365,ABRAMOVSKIJMAJAK,ロシア,66.40,43.27,-16.4,-12.2,-18.9,0.0
22383,NIZHNYAYAPESHA,ロシア,66.73,47.72,-22.9,-22.4,-26.0,0.0
22408,カレワラ,ロシア,65.22,31.15,-11.1,-9.1,-11.0,1.2
22413,ENGOZERO,ロシア,65.78,33.93,-7.7,-6.1,-10.4,1.2
22429,SOLOVKI,ロシア,65.02,35.68,-8.8,-6.4,-7.6,0.0
22438,ZHIZHGIN,ロシア,65.20,36.82,-9.5,-7.2,-8.9,0.6
22446,ZIMNEGORSKIJMAJAK,ロシア,65.47,39.73,-17.4,-13.9,-15.6,0.0
22456,KEPINO,ロシア,65.37,41.87,-26.0,-22.9,-27.0,0.0
22471,メゼニ,ロシア,65.87,44.20,-23.4,-19.9,-23.9,0.0
22481,MOSEEVO,ロシア,65.77,46.20,-30.7,-29.3,-31.5,0.0
22520,ケム,ロシア,64.98,34.80,-7.1,-5.4,-7.0,0.3
22525,RAZNAVOLOK,ロシア,64.57,34.92,-11.0,-6.9,-6.9,0.7
22529,KOLEZMA,ロシア,64.23,35.88,-16.1,-11.5,-11.5,0.9
22541,UNSKIJMAJAK,ロシア,64.83,38.40,-12.1,-11.7,-12.6,1.2
22546,SEVERODVINSK,ロシア,64.55,39.75,-19.8,-17.6,-18.3,0.0
22550,アルハンゲリスク,ロシア,64.50,40.72,-23.8,-22.2,-24.1,0.0
22551,MUD'JUG,ロシア,64.85,40.27,-20.8,-18.5,-20.0,0.0
22559,HOLMOGORY,ロシア,64.22,41.65,-22.6,-21.3,-22.3,0.0
22563,ピネガ,ロシア,64.70,43.38,-24.7,-23.6,-26.7,0.0
22573,レシュコンスコエ,ロシア,64.90,45.77,-23.4,-22.8,-26.6,0.0
22583,KOJNAS,ロシア,64.75,47.65,-30.3,-27.8,-32.6,0.0
22602,レボルイ,ロシア,63.83,30.82,-11.5,-9.9,-11.6,0.7
22619,パダヌイ,ロシア,63.27,33.42,-10.8,-8.2,-9.3,0.6
22621,セゲジャ,ロシア,63.77,34.28,-12.4,-8.7,-9.0,0.0
22641,オネガ,ロシア,63.90,38.12,-18.5,-17.3,-18.1,0.0
22648,TURCASOVO,ロシア,63.12,39.23,-21.1,,-20.0,0.6
22656,EMECK,ロシア,63.47,41.78,-23.6,-22.1,-23.4,0.0
22671,KARPOGORY,ロシア,64.00,44.43,-23.8,-23.4,-26.2,0.0
22676,スラ,ロシア,63.58,45.63,-26.6,-24.4,-31.1,0.2
22686,VENDINGA,ロシア,63.45,47.90,-24.1,,-28.5,0.0
22695,コスラン,ロシア,63.45,48.92,-20.9,-18.2,-23.0,0.0
22717,SUOYARVI,ロシア,62.10,32.38,-11.9,-9.1,-9.1,0.2
22721,メドベジエゴルスク,ロシア,62.92,34.43,-11.0,-9.8,-9.8,0.3
22727,コンドポガ,ロシア,62.17,34.30,-11.5,-10.4,-11.6,0.0
22749,KONEVO,ロシア,62.13,39.30,-18.7,-15.2,-21.1,0.2
22762,DVINSKIJBEREZNIK,ロシア,62.82,42.78,-25.2,-21.8,-26.8,0.0
22768,SHENKURSK,ロシア,62.10,42.90,-23.6,-20.1,-27.0,0.3
22778,VERHNJAJATOJMA,ロシア,62.23,45.02,-20.8,-16.8,-22.0,0.2
22798,JARENSK,ロシア,62.17,49.10,-18.0,-17.1,-19.7,0.2
22802,ソルタワラ,ロシア,61.72,30.72,-8.0,-6.3,-6.3,0.4
22805,VALAAM,ロシア,61.37,30.88,-5.1,-4.3,-5.5,0.7
22820,ペトロザボーツク,ロシア,61.82,34.27,-10.0,-8.5,-8.5,2.6
22831,プドジ,ロシア,61.80,36.58,-16.0,-11.9,-16.2,0.3
22837,ブイテグラ,ロシア,61.02,36.45,-10.6,-9.1,-12.1,0.4
22845,カルゴポリ,ロシア,61.50,38.93,-16.7,-11.2,-15.1,0.2
22854,ニャンドマ,ロシア,61.67,40.18,-18.4,-16.7,-19.3,0.2
22867,ベリスク,ロシア,61.07,42.07,-19.7,-18.5,-19.2,0.4
22869,SHANGALY,ロシア,61.13,43.35,-22.2,-21.0,-22.0,0.0
22876,KRASNOBORSK,ロシア,61.53,45.93,-24.9,-22.2,-28.0,0.3
22887,コトラス,ロシア,61.23,46.68,-20.7,-20.3,-23.2,0.5
22889,VILEGODSKOE,ロシア,61.12,47.98,-20.0,-17.1,-24.4,0.5
22892,ブイボルグ,ロシア,60.72,28.73,-4.1,-3.7,-4.6,0.3
22912,オロネツ,ロシア,60.98,32.98,-10.2,-8.2,-8.2,0.0
22913,ロデイノエポーレ,ロシア,60.72,33.55,-10.8,-9.0,-9.0,0.0
22917,NOVAJALADOGA,ロシア,60.12,32.32,-7.6,-6.0,-6.2,0.0
22925,VINNICY,ロシア,60.63,34.78,-13.5,-11.3,-12.9,0.0
22939,ベロゼルスク,ロシア,60.02,37.75,-15.8,-12.4,-14.2,0.0
22951,KONOSHA,ロシア,60.98,40.25,-17.9,-16.8,-18.5,0.3
22954,VOZEGA,ロシア,60.47,40.18,-17.6,-16.2,-17.5,0.3
22974,NYUKSENITSA,ロシア,60.40,44.22,-19.1,-18.5,-19.7,0.0
22981,ベリキーウスティグ,ロシア,60.77,46.25,-19.2,-18.5,-19.5,0.7
22983,LAL'SK,ロシア,60.70,47.60,-18.6,-16.5,-22.9,0.7
22996,OB'JACEVO,ロシア,60.37,49.65,-14.7,-10.5,-20.1,0.6
23022,アムデルマ,ロシア,69.78,61.65,-5.7,-2.3,,1.1
23032,MARESALE,ロシア,69.70,66.80,-8.1,-2.9,,0.7
23058,ANTIPAJUTA,ロシア,69.10,76.85,-16.9,-15.9,,0.2
23078,NORIL'SK,ロシア,69.33,88.25,-19.9,-16.9,,7.0
23112,VARANDEJ,ロシア,68.80,57.98,-11.2,-11.5,,0.0
23114,MYSKONSTANTINOVSKIJ,ロシア,68.53,55.48,-17.5,-15.7,,0.0
23174,POTAPOVO,ロシア,68.67,86.25,-20.1,-19.3,,3.0
23179,SNEZHNOGORSK,ロシア,68.10,87.77,-21.7,-20.2,,5.0
23205,ナリヤンマル,ロシア,67.62,53.02,-26.7,-25.9,,0.0
23226,ボルクタ,ロシア,67.48,63.97,-17.3,-14.8,,0.2
23242,ノーブイポルト,ロシア,67.68,72.88,-22.4,-21.2,,0.2
23256,タゾフスキー,ロシア,67.47,78.73,-22.1,-20.4,,2.0
23274,イガルカ,ロシア,67.47,86.57,-22.6,-20.1,,0.8
23305,OKUNEVNOS,ロシア,66.25,52.55,-26.7,-26.6,,0.0
23324,PETRUN',ロシア,66.47,60.75,-24.9,-21.5,,0.0
23330,サレハルド,ロシア,66.52,66.67,-28.8,-27.7,,0.0
23339,POLUJ,ロシア,66.03,68.68,-28.1,-25.9,,0.0
23345,NYDA,ロシア,66.63,72.93,-24.7,-24.1,,0.0
23358,NOVYJURENGOJ,ロシア,66.10,76.78,-26.8,-25.0,,0.0
23376,SVETLOGORSK,ロシア,66.93,88.37,-24.3,-23.5,,0.7
23405,ウスチツィルマ,ロシア,65.43,52.27,-25.3,-23.3,,0.0
23412,ウスチウサ,ロシア,65.98,56.90,-24.8,-21.4,,0.0
23418,ペチョラ,ロシア,65.12,57.13,-27.8,-24.1,,0.0
23426,ムジ,ロシア,65.48,64.72,-32.6,-30.3,,0.0
23431,PITLYAR,ロシア,65.83,65.93,-29.4,-28.6,,0.0
23443,PANGODY,ロシア,65.83,74.50,-25.9,-25.0,,0.0
23445,ナディム,ロシア,65.47,72.67,-26.0,-25.3,,0.0
23453,URENGOJ,ロシア,65.95,78.40,-24.7,-22.6,,0.0
23465,KRASNOSEL'KUPSK,ロシア,65.70,82.45,-23.5,-22.6,,0.0
23471,NIZHNEVARTOVSK,ロシア,60.92,76.60,-24.6,-22.1,,0.0
23472,トゥルハンスク,ロシア,65.78,87.98,-26.6,-25.3,,0.2
23503,IZHMA,ロシア,65.03,53.97,-32.6,-30.2,,0.0
23518,UST'-SUGOR,ロシア,64.27,57.62,,-28.6,,0.0
23527,サランパウリ,ロシア,64.28,60.88,-36.1,-34.4,,0.0
23552,タルコサレ,ロシア,64.92,77.82,-25.3,-23.7,,0.0
23578,VERESHCHAGINO,ロシア,64.23,87.57,-29.0,-28.5,,0.0
23589,TUTONCHANY,ロシア,64.20,93.78,-32.2,-26.2,,0.0
23606,ウフタ,ロシア,63.57,53.80,-24.9,-23.1,,0.0
23625,SOSVA,ロシア,63.65,62.10,-33.7,-31.5,,0.0
23631,ベリョーゾボ,ロシア,63.93,65.05,-30.8,-27.3,,0.0
23635,YUIL'SK,ロシア,63.67,69.60,-27.5,-24.1,,0.0
23656,HALESOVAYA,ロシア,63.38,78.32,-22.7,-22.3,,0.2
23657,NOYABR'SK,ロシア,63.12,75.28,-24.7,-23.3,,0.9
23662,トリカ,ロシア,63.98,82.08,-23.5,-20.5,,0.3
23678,ベルフネイムバーツク,ロシア,63.15,87.97,-32.1,-31.4,,0.0
23699,KERBO,ロシア,62.70,101.10,,,,0.0
23701,VESLJANA,ロシア,62.98,50.88,-22.1,-18.3,,0.2
23708,LUN',ロシア,62.23,52.48,-19.1,-16.2,,0.0
23711,トロイツコペチョルスク,ロシア,62.70,56.18,-21.6,-19.6,,0.4
23724,NJAKSIMVOL',ロシア,62.43,60.87,-31.0,-29.3,,0.0
23734,オクチャブリスコエ,ロシア,62.45,66.05,-21.5,-19.6,,2.2
23741,NIZHNESORTYMSK,ロシア,62.75,71.67,-24.4,-19.6,,0.9
23748,KOGALYM,ロシア,62.23,74.48,-23.8,-21.6,,1.0
23758,RADUZHNYJ,ロシア,62.15,77.32,-23.8,-21.5,,0.5
23774,KELLOG,ロシア,62.48,86.27,-29.7,-29.4,,0.0
23776,BAHTA,ロシア,62.45,89.00,-32.7,-32.0,,0.0
23788,KUZ'MOVKA,ロシア,62.30,92.10,,,,0.0
23803,ウスチクロム,ロシア,61.68,53.68,-15.5,-13.8,,0.0
23804,シクティフカル,ロシア,61.67,50.78,-17.6,-16.6,,1.2
23812,YAKSHA,ロシア,61.83,56.87,-13.7,-12.6,,0.7
23823,VONEGAN,ロシア,61.95,64.90,-22.0,-18.6,,1.3
23847,SYTOMINO,ロシア,61.30,71.30,-22.2,-17.0,,5.0
23849,スルグート,ロシア,61.25,73.50,-22.3,-18.6,,
23862,KORLIKI,ロシア,61.53,82.42,-32.9,-29.0,,0.0
23867,ラリヤク,ロシア,61.10,80.25,-25.3,-21.1,,0.0
23884,ボル,ロシア,61.57,90.02,-34.8,-33.5,,0.0
23891,バイキト,ロシア,61.67,96.37,-28.1,-23.0,,0.0
23909,ガイヌイ,ロシア,60.28,54.35,-11.4,-9.1,,0.9
23914,チェルディン,ロシア,60.40,56.52,-10.7,-9.8,,2.0
23921,イブデリ,ロシア,60.68,60.45,-21.3,-20.2,,1.8
23929,SAIM,ロシア,60.32,64.22,-16.8,-16.1,,6.0
23933,HANTY-MANSIJSK,ロシア,61.02,69.12,-19.0,-16.5,,4.0
23939,ALTAJ,ロシア,60.33,68.97,-17.0,-15.3,,4.0
23946,UGUT,ロシア,60.50,74.02,-23.5,-18.9,,2.0
23947,SALYM,ロシア,60.07,71.48,-19.6,-16.1,,2.0
23955,アレクサンドロフスコエ,ロシア,60.43,77.87,-27.3,-26.6,,0.0
23966,バンジリクイナク,ロシア,60.35,84.08,-31.7,-30.5,,0.0
23973,ボロゴボ,ロシア,61.02,89.60,-34.1,-33.7,,0.0
23975,スイム,ロシア,60.33,88.35,-34.4,,-22.9,0.0
23982,VEL'MO,ロシア,61.00,93.42,-35.9,-33.0,,0.0
23986,セベロエニセイスキー,ロシア,60.37,93.03,-25.5,-22.5,,0.0
23987,JARCEVO,ロシア,60.23,90.22,-34.2,-32.0,,0.0
23992,UST'-KAMO,ロシア,60.72,97.50,-33.1,-30.0,,0.0
24076,DEPUTATSKIJ,ロシア,69.33,139.67,-31.6,-22.3,-38.0,0.0
24125,オレニョク,ロシア,68.50,112.43,-20.2,-17.0,,2.0
24136,スハナ,ロシア,68.62,118.33,-18.4,-15.5,,1.3
24143,ジャルジャン,ロシア,68.73,124.00,-35.5,-31.6,,1.5
24194,BELAYAGORA,ロシア,68.55,146.22,-38.7,,-39.8,0.0
24219,YAROL'IN,ロシア,67.13,108.53,-11.6,-9.6,,1.3
24261,BATAGAJ-ALYTA,ロシア,67.80,130.38,-30.5,-24.0,-37.0,
24263,BATAGAJ,ロシア,67.65,134.68,-38.2,-36.1,-41.5,0.6
24266,ベルホヤンスク,ロシア,67.57,133.40,-41.8,-38.6,-42.2,0.6
24322,POLYARNYJ,ロシア,66.73,112.43,-16.7,-13.6,,1.5
24329,ショロゴンツィ,ロシア,66.25,114.28,-15.3,-12.0,,1.1
24338,EJK,ロシア,66.03,117.40,-19.1,-13.8,,0.8
24343,ジガンスク,ロシア,66.77,123.40,-38.6,-34.9,,1.1
24361,EKYUCHCHYU,ロシア,66.77,131.60,-37.9,-36.1,-39.3,0.4
24371,UST'-CHARKY,ロシア,66.80,136.68,-33.5,-31.9,-38.1,0.2
24382,UST'-MOMA,ロシア,66.45,143.23,-41.6,-40.9,-42.2,0.0
24449,BESTYAHSKAYAZVEROFERMA,ロシア,65.30,127.12,-39.6,-36.9,,0.9
24462,SEBYAN-KYUEL',ロシア,65.30,130.00,-37.6,-35.9,,0.0
24477,IEMA,ロシア,65.30,135.80,-40.3,-36.1,-46.4,0.4
24507,トゥラー,ロシア,64.27,100.22,-17.1,-15.0,,0.0
24525,HABARDINO,ロシア,64.60,112.52,-12.9,-11.0,,0.6
24538,CHUMPURUK,ロシア,64.23,116.92,-14.8,-10.0,,1.5
24557,SOGO-HAYA,ロシア,64.28,126.45,-40.7,-38.1,,0.0
24585,NERA,ロシア,64.55,144.40,-50.5,-49.4,-51.9,0.0
24588,YURTY,ロシア,64.05,141.88,-47.6,-46.9,-51.3,0.0
24606,KISLOKAN,ロシア,63.58,103.95,-13.7,-12.4,,0.0
24639,ニュルバ,ロシア,63.28,118.33,-14.1,,,0.6
24641,ビリュイスク,ロシア,63.78,121.62,-34.1,-32.7,,1.5
24643,HATYRYK-HOMO,ロシア,63.95,124.83,-38.6,-37.5,,0.5
24644,VERHNEVILYUJSK,ロシア,63.45,120.32,-26.9,-24.8,,2.0
24652,サンガル,ロシア,63.97,127.47,-40.0,-37.3,,0.3
24656,バタマイ,ロシア,63.52,129.48,-43.1,-39.2,,0.0
24661,SEGEN-KYUEL',ロシア,64.00,130.30,-44.2,-41.2,,0.0
24668,VERHOYANSKIJPEREVOZ,ロシア,63.32,132.02,-46.6,-45.7,,0.0
24671,TOMPO,ロシア,63.95,135.87,-43.2,-42.5,,0.0
24679,VOSTOCHNAYA,ロシア,63.22,139.60,-41.9,-39.5,-44.1,0.0
24684,AGAYAKAN,ロシア,63.33,141.73,-46.0,-44.2,-47.9,0.0
24688,オイミャコン,ロシア,63.25,143.15,-49.1,-46.9,-51.0,0.0
24691,DELYANKIR,ロシア,63.83,145.60,-48.2,-46.8,,0.0
24724,CHERNISHEVSKIJ,ロシア,63.03,112.48,-15.1,-13.8,,1.0
24725,TUOJ-HAYA,ロシア,62.53,111.23,-14.2,-12.4,,3.0
24726,ミールヌイ,ロシア,62.53,113.87,-15.2,-13.6,,1.5
24737,KRESTYAH,ロシア,62.27,116.15,-13.0,-11.8,,1.1
24738,スンタル,ロシア,62.15,117.65,-12.9,-10.8,,2.0
24753,NAMTSY,ロシア,62.73,129.67,-44.3,-43.6,,0.4
24758,BERDIGESTYAH,ロシア,62.27,127.07,-35.3,-35.8,,0.7
24763,KREST-HAL'DZHAJ,ロシア,62.82,134.43,-43.6,-41.5,-44.5,0.0
24768,チュラプチャ,ロシア,62.03,132.60,-43.0,-40.8,,0.0
24771,TEPLYJKLYUCH,ロシア,62.78,136.85,-41.8,-39.4,-46.1,0.0
24790,ススマン,ロシア,62.78,148.17,-39.2,-37.9,-37.9,0.0
24802,STRELKACHUNYA,ロシア,61.73,102.80,-19.5,-15.7,,0.0
24807,MUTORAJ,ロシア,61.32,100.47,-19.7,-15.8,,0.0
24817,ERBOGACEN,ロシア,61.27,108.02,-16.6,-15.2,,1.0
